,Date,UTX,Mkt.RF,SMB,HML,fit,lwr,upr,correct,fitted,,,
1,12/31/2004,-0.404693903,-0.11,0,0.2,-0.051454011,-1.881139823,1.778231802,TRUE,-0.051454011,,-0.051457,
2,1/3/2005,-0.347287822,-1.01,-0.55,-0.22,-0.924513748,-2.765545127,0.916517632,TRUE,-0.924513748,TRUE,118,0.466403162
3,1/4/2005,-1.17431123,-1.29,-0.58,0.49,-0.964181753,-2.80886634,0.880502834,TRUE,-0.964181753,TRUE,189,0.747035573
4,1/5/2005,-0.759196305,-0.62,-1.07,0.01,-0.426221125,-2.27280554,1.42036329,TRUE,-0.426221125,TRUE,,
5,1/6/2005,0.05311847,0.34,-0.16,0.17,0.373822391,-1.457947264,2.205592046,TRUE,0.373822391,FALSE,,
6,1/7/2005,-1.093297844,-0.23,-0.74,-0.03,-0.127101971,-1.965674565,1.711470623,TRUE,-0.127101971,FALSE,,
7,1/10/2005,-0.276013767,0.41,0.23,0.17,0.383598237,-1.447133607,2.214330081,FALSE,0.383598237,TRUE,,
8,1/11/2005,0.404031897,-0.64,-0.32,0.35,-0.447213908,-2.281185209,1.386757393,FALSE,-0.447213908,TRUE,,
9,1/12/2005,1.764843172,0.41,-0.09,-0.01,0.374287799,-1.456764289,2.205339888,TRUE,0.374287799,FALSE,,
10,1/13/2005,-1.329560354,-0.69,0.12,0.53,-0.500388881,-2.342562729,1.341784968,TRUE,-0.500388881,FALSE,,
11,1/14/2005,0.318931227,0.62,0.51,0.06,0.503940226,-1.328964962,2.336845414,TRUE,0.503940226,FALSE,,
12,1/18/2005,1.22871115,0.91,0.18,-0.24,0.725602453,-1.110390175,2.561595081,TRUE,0.725602453,TRUE,,
13,1/19/2005,-1.14276395,-0.9,-0.16,0.48,-0.66861684,-2.508755696,1.171522017,TRUE,-0.66861684,FALSE,,
14,1/20/2005,-1.258913471,-0.75,-0.15,-0.01,-0.679335368,-2.513511735,1.154841,TRUE,-0.679335368,TRUE,,
15,1/21/2005,0.280481552,-0.47,0.29,0.32,-0.385502697,-2.223360475,1.45235508,FALSE,-0.385502697,FALSE,,
16,1/24/2005,-1.083724068,-0.5,-0.77,0.67,-0.160607863,-2.006394113,1.685178386,TRUE,-0.160607863,TRUE,,
17,1/25/2005,0.572673552,0.26,0.15,-0.36,0.098791488,-1.734119985,1.931702962,TRUE,0.098791488,FALSE,,
18,1/26/2005,1.225061246,0.63,0.9,-0.13,0.401921566,-1.438167137,2.242010268,TRUE,0.401921566,TRUE,,
19,1/27/2005,1.310878811,0.06,0.17,0.16,0.068536084,-1.761267809,1.898339978,TRUE,0.068536084,TRUE,,
20,1/28/2005,-0.149200225,-0.29,-0.25,0.13,-0.202380377,-2.032378627,1.627617874,TRUE,-0.202380377,FALSE,,
21,1/31/2005,-1.328754747,0.94,0.77,0.07,0.763686621,-1.074809752,2.602182994,FALSE,0.763686621,TRUE,,
22,2/1/2005,-0.664682023,0.68,-0.06,0.12,0.656202159,-1.178191915,2.490596233,FALSE,0.656202159,FALSE,,
23,2/2/2005,-0.399955118,0.38,0.21,0.3,0.397825709,-1.434503551,2.230154968,FALSE,0.397825709,FALSE,,
24,2/3/2005,0.876870472,-0.27,-0.14,0.41,-0.115587896,-1.948499214,1.717323421,FALSE,-0.115587896,TRUE,,
25,2/4/2005,1.193521429,1.07,0.12,-0.55,0.787658407,-1.057924379,2.633241192,TRUE,0.787658407,FALSE,,
26,2/7/2005,-1.537861556,-0.14,0.1,-0.08,-0.176644816,-2.006551933,1.653262302,TRUE,-0.176644816,FALSE,,
27,2/8/2005,0.810837738,0.11,0.19,-0.04,0.051668474,-1.777638161,1.880975109,TRUE,0.051668474,FALSE,,
28,2/9/2005,-0.498497611,-0.91,-1.1,0.78,-0.457086878,-2.3134632,1.399289444,TRUE,-0.457086878,FALSE,,
29,2/10/2005,2.12038682,0.44,-0.37,0.22,0.509579958,-1.327458128,2.346618044,TRUE,0.509579958,FALSE,,
30,2/11/2005,-1.259277678,0.77,0.48,-0.39,0.51076335,-1.325547239,2.347073939,FALSE,0.51076335,FALSE,,
31,2/14/2005,-0.089267782,0.1,0,0.15,0.125836335,-1.703375538,1.955048209,FALSE,0.125836335,FALSE,,
32,2/15/2005,1.424775998,0.27,-0.38,0.04,0.301466016,-1.532600754,2.135532785,TRUE,0.301466016,TRUE,,
33,2/16/2005,0.491651284,0.09,0.31,0.69,0.235127759,-1.608740648,2.078996165,TRUE,0.235127759,TRUE,,
34,2/17/2005,-1.332522675,-0.72,-0.28,0.2,-0.570917054,-2.404182711,1.262348602,TRUE,-0.570917054,FALSE,,
35,2/18/2005,-0.575262461,0.01,-0.15,0.1,0.049365193,-1.779939071,1.878669456,FALSE,0.049365193,TRUE,,
36,2/22/2005,-2.288998925,-1.38,-0.27,-0.09,-1.263332008,-3.110148326,0.583484311,TRUE,-1.263332008,FALSE,,
37,2/23/2005,1.108175292,0.48,-0.14,0.3,0.538114469,-1.296591382,2.372820321,TRUE,0.538114469,FALSE,,
38,2/24/2005,0.258858416,0.75,0.17,-0.14,0.610443944,-1.222582441,2.443470328,TRUE,0.610443944,TRUE,,
39,2/25/2005,0.991498377,0.98,0.34,0.43,0.967929216,-0.873936594,2.809795025,TRUE,0.967929216,TRUE,,
40,2/28/2005,-1.151102874,-0.59,0.24,0.11,-0.551250168,-2.387930581,1.285430246,TRUE,-0.551250168,FALSE,,
41,3/1/2005,0.010527558,0.53,0.15,-0.21,0.390869214,-1.440747514,2.222485942,TRUE,0.390869214,FALSE,,
42,3/2/2005,-0.38014231,0.02,-0.17,0.11,0.064298132,-1.76519566,1.893791924,FALSE,0.064298132,FALSE,,
43,3/3/2005,0.175242412,0.04,0.05,0.59,0.195630135,-1.642173761,2.033434031,TRUE,0.195630135,TRUE,,
44,3/4/2005,1.012922176,0.95,-0.01,0.35,0.96526017,-0.876604199,2.807124539,TRUE,0.96526017,TRUE,,
45,3/7/2005,0.558298668,0.23,-0.35,-0.05,0.233732593,-1.599598949,2.067064135,TRUE,0.233732593,TRUE,,
46,3/8/2005,0.936728795,-0.45,-0.42,0.02,-0.358108582,-2.189967675,1.473750511,FALSE,-0.358108582,TRUE,,
47,3/9/2005,-1.708382918,-0.96,0.14,-0.26,-0.986795565,-2.832171314,0.858580184,TRUE,-0.986795565,TRUE,,
48,3/10/2005,1.266483749,-0.04,-0.77,-0.35,-0.044751552,-1.891204856,1.801701752,FALSE,-0.044751552,FALSE,,
49,3/11/2005,-0.474131597,-0.51,0.53,0.62,-0.365757408,-2.218426363,1.486911547,TRUE,-0.365757408,TRUE,,
50,3/14/2005,1.575264461,0.56,-0.22,0.17,0.583587329,-1.251852526,2.419027183,TRUE,0.583587329,FALSE,,
51,3/15/2005,-0.689187589,-0.64,0.22,0.28,-0.543361177,-2.381855838,1.295133485,TRUE,-0.543361177,FALSE,,
52,3/16/2005,-0.77459125,-0.78,0.2,0.18,-0.698674635,-2.538408405,1.141059135,TRUE,-0.698674635,TRUE,,
53,3/17/2005,0.834735514,0.23,0.02,0.63,0.385723986,-1.454047818,2.22549579,TRUE,0.385723986,FALSE,,
54,3/18/2005,1.322955178,-0.16,-0.38,0.12,-0.068255409,-1.899398781,1.762887963,FALSE,-0.068255409,TRUE,,
