"VaR_nonp" "VaR_par" "ES_nonp" "ES_par"
347.066 325.225911714174 721.155125 527.931251890115
351.6964 342.990461232966 676.0244 551.543834138504
355.2 332.967015291459 651.010208333333 538.190914938472
312.5582 319.460016431251 584.42416 494.4205078543
339.8164 331.518686556662 537.65876 507.315384662336
312.5582 326.951742725016 511.39796 527.695636526464
339.8563 328.209328257095 574.02384 559.880872522812
332.9461 318.517069273995 539.34416 486.36208584404
340.964 318.048784576536 549.848448979592 440.821918598252
322.6353 315.142948222863 534.00796 516.525360353955
335.106 336.72505213864 707.529795918367 564.478735437127
345.6334 331.827218198174 676.29584 594.800412338759
299.2478 316.986799369653 447.2122 572.166711126381
347.0867 304.07681914063 519.1072 489.922121893277
326.4115 311.128876301798 496.74452 432.430731857723
345.944 330.089588624224 579.932408163265 579.526978356272
339.756 317.728815374548 642.42306122449 425.301503262283
347.5786 317.698527139471 758.1242 562.260950057572
322.454 315.37909642851 500.897755102041 441.473368989025
296.3613 304.796639530176 685.53468 514.693917581516
332.8298 312.972988540587 638.39188 512.780688047227
341.0787 296.710653588163 520.59924 493.721656854792
341.0787 321.792339168135 625.27972 531.561052420786
347.0867 317.798443352724 649.08132 525.156231415303
345.944 321.146170699371 658.36706122449 496.517355200156
323.0866 328.467932759165 728.29644 561.406300599126
296.3613 302.320305602018 545.49396 460.5002327312
340.086 308.618297023371 777.16476 528.220974232125
337.5482 303.817617784337 618.44716 495.657516515192
319.0853 327.873759690399 694.6438 581.338794195859
299.4879 314.048758812423 469.81212 477.938914843633
345.5773 326.189725847288 631.52104 550.760949151219
299.1547 300.35217334515 536.2196 418.554557288238
330.964 328.593466395423 720.40787755102 544.20936011353
341.0787 319.283333005916 682.92908 525.201602973055
330.964 330.673430242155 657.219659574468 533.655775593538
343.258 322.609297242687 737.08375 573.265600340375
296.3564 318.5453879348 614.35712 542.539174797353
296.3613 315.481254877266 565.71228 505.981808850616
345.558 331.495698656163 724.857625 577.550910369554
310.5558 318.362999877336 772.65308 578.103425382909
341.0787 332.161779155589 896.0784 473.213580697785
337.432 317.50151701604 511.74525 505.145125100659
331.1711 307.174793080105 558.6434 484.377596299846
345.5773 335.48453604169 789.50656 453.301814081917
379.878 350.237475130966 968.034612244898 690.608184547242
335.2223 324.028261646676 496.21664 443.430624944527
339.7581 319.461883918078 509.37996 488.911059492887
322.6353 306.058209765524 492.60352 409.711654643545
335.2223 342.474722087121 687.13464 597.966430543717
286.724 319.405480345489 476.54952 479.923620105813
312.7355 316.914666346092 521.3196 497.85616466876
335.2223 347.991997575295 710.15992 581.051447801133
326.4115 316.402865883938 624.77512 564.203650734219
286.8569 308.086810392062 487.73524 483.585806367967
335.2223 326.277145759489 681.1674 577.94429971504
332.8298 337.502478102382 677.17676 545.563412793675
339.8563 343.719402079295 743.98376 558.619668800641
348.2727 330.431691217967 659.93732 534.414663841817
280.3339 301.511419508999 683.42376 549.508184182293
351.512 341.185730073886 686.974897959184 550.21412709029
345.5773 333.078372123523 743.58764 598.547852782115
337.432 325.077378609746 621.327714285714 524.967706797817
335.2223 328.584456387952 624.98304 529.985201459391
311.2132 293.753784930611 507.584 431.045578638768
326.08 306.345536004526 784.650816326531 506.392460236008
339.756 347.440330300473 863.91425 582.057076581414
331.1711 323.847327172128 612.84504 547.034379731278
312.5582 315.307373890712 605.82876 522.435974522438
337.6086 326.005431840696 579.76644 531.60177787872
345.5773 327.248042428826 646.70384 554.462956764927
339.8563 336.166679048935 609.9732 573.709015479876
326.08 313.388372671166 554.444857142857 505.350995903382
347.066 324.968479716804 556.862958333333 535.605825357763
337.5482 320.750553859069 528.45932 481.296634362937
347.066 320.534638511959 617.614204081633 514.127954283563
339.8563 314.342146441576 568.1876 526.99305694834
311.7247 311.275191458623 658.3832 501.253118122879
335.2223 315.454048636462 490.402 496.878201951947
347.066 318.010615783006 674.2125 533.682018595398
318.908 319.016621756773 719.994489795918 559.277654390902
339.8164 307.546547990916 486.5182 529.948373928907
363.7169 315.084523478392 593.77896 451.998407815362
337.5503 337.609845766618 614.16104 589.058532628615
312.5582 317.218042859651 543.11344 514.586712948094
339.8563 312.899562388949 596.47928 521.378996435441
322.6353 340.07406110782 646.21776 661.01741137121
345.944 329.817011750454 634.589836734694 628.463121579623
346.0208 325.006036620666 648.74304 581.523301878159
349.452 318.949743604766 532.189083333333 550.893064313935
312.5582 317.341547294128 499.4086 491.632276673728
345.944 336.425879748182 506.781291666667 534.343364173059
304.1718 320.645273362971 528.42196 502.303236622943
332.8298 307.595210738817 571.98888 520.969284607435
345.6334 325.444506011803 807.88012 630.179739773642
339.8563 306.159548436552 572.06512 510.662634556155
371.4363 338.017608586653 902.06456 471.866406404304
337.5482 334.981079798223 602.9496 540.099131001436
326.4115 307.954349141989 585.85716 512.483468968062
326.3242 317.888058697802 573.0292 511.912095103861
341.0787 328.247384573586 657.75724 556.163169392597
347.48 333.82035866289 736.862857142857 618.352811096873
298.91 300.27106176593 644.93506122449 495.776642579489
299.4879 321.674868477763 705.06096 555.443448768557
326.3242 324.249836221023 569.44372 564.395623030081
339.7581 329.992810917579 673.7532 552.863181235522
318.908 313.078827586934 634.718448979592 573.982625774745
339.971 318.940101231972 610.98736 566.933263600386
312.224 322.1165202327 577.657551020408 540.869518181707
332.8298 324.947732576858 608.99748 544.498246570361
346.0001 317.318024239418 611.19564 528.921427416822
345.5773 318.529589423888 663.60492 540.802823598238
335.3406 335.936195195305 663.68736 585.939171662263
340.964 342.753196703768 580.505591836735 572.394747264866
319.0853 301.937972240321 474.06072 468.617840662242
363.3596 339.934397930067 628.6588 544.715124701479
345.6334 329.576303270593 636.5846 576.666830589254
339.8563 323.336722076247 619.54148 567.505424917131
333.0623 328.276006833846 660.60416 519.755088722144
312.224 315.154439174408 471.360326530612 476.165742007255
304.1372 324.841519189219 775.45792 547.818898012251
346.0001 322.356533755553 499.9456 522.861125125433
326.08 301.772200757026 480.241224489796 460.844762907749
337.6086 321.267069752309 591.53876 536.884785356338
326.3242 303.129191301136 525.91856 459.651498151108
341.0787 323.382794306193 632.03416 433.157745446711
330.964 293.935332991066 533.376375 452.144751065256
