"wage","education","experience","ethnicity","smsa","region","parttime"
354.94,7,45,"cauc","yes","northeast","no"
123.46,12,1,"cauc","yes","northeast","yes"
370.37,9,9,"cauc","yes","northeast","no"
754.94,11,46,"cauc","yes","northeast","no"
593.54,12,36,"cauc","yes","northeast","no"
377.23,16,22,"cauc","yes","northeast","no"
284.9,8,51,"cauc","yes","northeast","no"
561.13,12,34,"cauc","yes","northeast","no"
264.06,12,0,"cauc","yes","northeast","no"
1643.83,14,18,"cauc","yes","northeast","no"
474.83,12,17,"cauc","yes","northeast","no"
299.15,8,42,"cauc","yes","northeast","no"
244.88,10,10,"cauc","yes","northeast","no"
474.83,14,19,"cauc","no","northeast","no"
213.68,12,40,"cauc","no","northeast","no"
864.2,16,42,"cauc","no","northeast","no"
841.93,14,27,"cauc","no","northeast","no"
301.96,16,-1,"cauc","no","northeast","no"
669.28,12,17,"cauc","no","northeast","no"
403.61,12,42,"cauc","no","northeast","no"
403.61,12,25,"cauc","no","northeast","no"
476.54,12,15,"cauc","no","northeast","no"
536.56,16,26,"cauc","no","northeast","no"
1018.52,11,4,"cauc","yes","northeast","no"
339.21,13,17,"cauc","yes","northeast","no"
546.06,12,16,"cauc","yes","northeast","no"
251.95,14,4,"cauc","yes","northeast","no"
522.32,16,20,"cauc","yes","northeast","no"
204.18,12,6,"cauc","yes","northeast","no"
1419.75,10,35,"cauc","yes","northeast","no"
208.5,10,4,"cauc","yes","northeast","no"
1283.53,16,10,"cauc","no","northeast","no"
586.42,13,22,"cauc","no","northeast","no"
750.24,12,20,"cauc","no","northeast","no"
370.37,12,36,"cauc","yes","northeast","no"
510.45,12,10,"cauc","yes","northeast","no"
343.21,12,10,"cauc","no","northeast","no"
166.67,12,51,"cauc","no","northeast","yes"
795.35,12,12,"cauc","no","northeast","no"
338.48,12,17,"cauc","no","northeast","no"
222.93,11,41,"cauc","no","northeast","yes"
997.15,18,14,"cauc","yes","northeast","no"
277.78,11,40,"cauc","yes","northeast","yes"
593.54,12,38,"cauc","yes","northeast","no"
420.23,16,6,"cauc","yes","northeast","no"
427.35,6,47,"cauc","no","northeast","no"
522.32,12,26,"cauc","no","northeast","no"
296.3,12,3,"cauc","no","northeast","no"
783.48,18,12,"cauc","no","northeast","no"
427.35,6,41,"cauc","no","northeast","no"
712.25,12,18,"cauc","yes","northeast","no"
641.03,12,32,"cauc","no","northeast","no"
759.73,13,28,"cauc","yes","northeast","no"
594.52,12,18,"cauc","yes","northeast","no"
284.9,16,2,"cauc","yes","northeast","yes"
771.6,15,18,"cauc","yes","northeast","no"
