"year","month","day","ge","ibm","mobil","crsp"
1989,1,3,-0.01676,0,-0.002747,-0.007619
1989,1,4,0.017045,0.005128,0.00551,0.013016
1989,1,5,-0.002793,-0.002041,0.005479,0.002815
1989,1,6,0,-0.006135,0.002725,0.003064
1989,1,9,0,0.004115,0.005435,0.001633
1989,1,10,-0.005602,-0.007172,0.008108,-0.001991
1989,1,11,0,0.009288,0,0.004671
1989,1,12,0.014085,0.007157,0.016086,0.004027
1989,1,13,0,0.00203,-0.002639,0.001736
1989,1,16,-0.002778,0.007092,0.007937,0.001504
1989,1,17,0.008357,-0.004024,0.002625,-0.001778
1989,1,18,0.013812,0.010101,0.013089,0.00895
1989,1,19,-0.002725,-0.006,-0.002584,0.00192
1989,1,20,-0.005464,-0.00503,-0.012953,-2.4e-05
1989,1,23,-0.005495,-0.010111,-0.002625,-0.005585
1989,1,24,0.013812,0.015322,-0.002632,0.010016
1989,1,25,0,-0.008048,-0.005277,0.002778
1989,1,26,0.021798,0.022312,0.015915,0.008048
1989,1,27,0.010667,0.006944,0.015666,0.006231
1989,1,30,0.013193,0.014778,0.002571,0.00345
1989,1,31,0.007812,0.014563,0.004615,0.007492
1989,2,1,-0.002584,-0.007656,-0.007752,0.00021
1989,2,2,-0.002591,-0.001157,-0.002604,0.000419
1989,2,3,-0.005195,-0.004869,-0.007833,0.001419
1989,2,6,0.002611,-0.008806,0.002632,-0.001251
1989,2,7,0.007812,0.007897,0.010499,0.010273
1989,2,8,-0.018088,-0.004897,-0.01039,-0.001593
1989,2,9,-0.010526,-0.004921,-0.013123,-0.006766
1989,2,10,-0.015957,-0.01088,-0.007979,-0.01201
1989,2,13,-0.002703,0.008,-0.005362,0.000539
1989,2,14,-0.01084,-0.009921,0,-0.000533
1989,2,15,0.013699,0.018036,0.005391,0.007362
1989,2,16,-0.005405,-0.008858,0.013405,0.002217
1989,2,17,0.019022,-0.004965,0.007937,0.005398
1989,2,21,0.002667,0.001996,0.007874,-0.001916
1989,2,22,-0.029255,-0.016932,-0.018229,-0.014071
1989,2,23,0.010959,0,-0.005305,0.002959
1989,2,24,-0.01897,-0.018237,-0.021333,-0.012925
1989,2,27,0.016575,0.004128,0.00545,0.000846
1989,2,28,-0.005435,-0.001028,0.01084,0.003387
1989,3,1,-0.007432,-0.013374,0.008043,-0.003345
1989,3,2,0,0.005214,0.023936,0.008535
1989,3,3,-0.005556,0.003112,0.007792,0.003932
1989,3,6,0.002793,0.005171,0.015464,0.00994
1989,3,7,0.005571,-0.013374,0.005076,-0.001313
1989,3,8,0.00554,-0.002086,-0.010101,0.001032
1989,3,9,0.002755,-0.008359,0.005102,-0.000483
1989,3,10,-0.010989,-0.003161,-0.01269,-0.002311
1989,3,13,0.013889,0.005285,0.020566,0.006199
1989,3,14,0.00274,-0.008412,0.005038,-0.000383
1989,3,15,0.002732,-0.007423,0.02005,0.004044
1989,3,16,0.013624,0.009615,0.004914,0.00791
1989,3,17,-0.034946,-0.047619,-0.026895,-0.019625
1989,3,20,-0.002786,-0.026667,-0.002513,-0.009427
1989,3,21,0.005587,0.005708,0.010076,0.004706
1989,3,22,0,-0.007946,-0.004988,-0.002487
1989,3,23,-0.022222,0.003432,-0.017544,-0.003658
1989,3,27,0,0.004561,0.007653,0.003625
1989,3,28,0.005682,-0.001135,-0.002532,0.003696
1989,3,29,0.014124,-0.003409,-0.002538,0.002519
1989,3,30,-0.008357,-0.007982,-0.007634,0.000909
1989,3,31,0,0.003448,0.005128,0.00773
1989,4,3,0.014045,-0.005727,-0.015306,0.004414
1989,4,4,-0.00277,-0.012673,0.007772,-0.002082
1989,4,5,0,0.005834,0.015424,0.003001
1989,4,6,-0.005556,0.00232,0,-0.002203
1989,4,7,0.00838,0.016204,-0.007595,0.00565
1989,4,10,0,0.002278,0.010204,0.000288
1989,4,11,0.00277,0.010227,0.007576,0.004265
1989,4,12,-0.005525,0,-0.005013,0.002088
1989,4,13,0.005556,-0.016873,-0.015113,-0.006827
1989,4,14,0.038674,0.014874,0.007673,0.013132
1989,4,17,0.00266,0.00451,0.005076,0.000898
1989,4,18,0.026525,0.01459,0.027778,0.01138
1989,4,19,-0.010336,-0.005531,0.004914,0.003661
1989,4,20,0,0,0.002445,-0.001657
1989,4,21,0.010444,0.010011,0.017073,0.007504
1989,4,24,-0.007752,0,-0.014388,-0.001404
1989,4,25,-0.002604,0.008811,-0.026764,-0.00396
1989,4,26,0.002611,0,0.015,0.001381
1989,4,27,0.013021,0.001092,0.009852,0.007177
1989,4,28,0.005141,-0.005453,-0.009756,0.000961
1989,5,1,-0.002558,-0.005482,-0.012315,-0.001306
1989,5,2,0.002564,-0.00882,-0.002494,-0.001659
1989,5,3,-0.005115,-0.007786,0.0075,0.00023
1989,5,4,-0.002571,0.003004,0,-0.000112
1989,5,5,-0.015464,-0.011299,0.004963,0.000499
1989,5,8,-0.002618,0.001143,-0.009383,-0.004453
1989,5,9,-0.005249,0.002283,0.007576,-0.001652
1989,5,10,0.010554,-0.001139,0,0.001837
1989,5,11,0.023499,-0.004561,-0.010025,0.003133
1989,5,12,0.040816,0.014891,0.007595,0.017986
1989,5,15,0.02451,0.018059,0.007538,0.006748
1989,5,16,-0.009569,-0.012195,0.009975,-0.001458
1989,5,17,0.021739,0.001122,-0.004938,0.00616
1989,5,18,0.007092,0.004484,-0.007444,0.002059
1989,5,19,0.011737,-0.007812,0.0275,0.007922
1989,5,22,-0.00464,-0.011249,0.002433,0.002679
1989,5,23,-0.013986,-0.003413,0.004854,-0.008568
1989,5,24,0.014184,0.002283,0.009662,0.002107
1989,5,25,-0.016317,-0.001139,-0.002392,0.001201
1989,5,26,0.028436,-0.00114,0,0.007068
1989,5,30,-0.004608,-0.011416,-0.016787,-0.005625
1989,5,31,0.011574,0.012702,0.004878,0.004346
1989,6,1,0.009153,0.003421,0.004854,0.004722
1989,6,2,0.011338,0.001136,0.002415,0.009736
1989,6,5,-0.011211,-0.010216,-0.014458,-0.008038
1989,6,6,0.00517,0.005734,-0.002445,0.004792
1989,6,7,0.009091,-0.00114,0.002451,0.00857
1989,6,8,-0.018018,-0.002283,-0.017115,0.000366
1989,6,9,0.002294,-0.008009,-0.004975,3e-06
1989,6,12,-0.006865,0.004614,0.005,-0.000757
1989,6,13,-0.023041,0.019518,-0.002488,-0.006262
1989,6,14,0.004717,-0.005631,0,-0.000597
1989,6,15,-0.014085,-0.00906,-0.022444,-0.009932
1989,6,16,0.016667,0.001143,0,0.00278
1989,6,19,0.007026,0.007991,-0.005102,0.00106
1989,6,20,-0.006977,-0.007928,0,-0.001621
1989,6,21,-0.002342,0.002283,-0.005128,-0.001655
1989,6,22,0.007042,-0.005695,0,0.004256
1989,6,23,0.020979,0.016037,0.015464,0.013953
1989,6,26,-0.011416,0.010147,0.005076,-0.002621
1989,6,27,-0.006928,0.021205,0.037879,0.005218
1989,6,28,-0.006977,-0.004372,-0.007299,-0.006373
1989,6,29,-0.018735,-0.020856,-0.026961,-0.017437
1989,6,30,-0.01432,0.003363,-0.005038,-0.004597
1989,7,3,0.009685,0.003352,0.012658,0.003393
1989,7,5,0.002398,-0.002227,0.0125,0.003732
1989,7,6,-0.002392,-0.003348,-0.004938,0.003837
1989,7,7,0.019185,0.004479,0.012407,0.009173
1989,7,10,0.011765,0.022297,0,0.005393
1989,7,11,0.002326,-0.006543,-0.004902,0.005078
1989,7,12,0.009281,0.007684,-0.002463,0.003328
1989,7,13,0,0.001089,0.004938,0.000992
1989,7,14,0.004598,-0.001088,0.012285,0.003862
1989,7,17,0,0.010893,-0.002427,0.002264
1989,7,18,-0.006865,-0.010776,0.004866,-0.002629
1989,7,19,0.036866,-0.003268,0.016949,0.010767
1989,7,20,-0.008889,-0.014208,0,-0.005088
1989,7,21,0.020179,0.012195,0.009524,0.004241
1989,7,24,-0.008791,-0.005476,-0.023585,-0.005326
1989,7,25,0,-0.006608,-0.012077,0.000619
1989,7,26,0.008869,-0.002217,0.012225,0.010133
1989,7,27,0.010989,0.004444,-0.004831,0.010041
1989,7,28,0,0.003319,-0.007282,0.00133
1989,7,31,0.017391,0.014333,0.002445,0.00934
1989,8,1,-0.027778,-0.003261,-0.00439,-0.004211
1989,8,2,0.002198,-0.005453,-0.002481,0.002236
1989,8,3,0.004386,0.008421,0,0.002544
1989,8,4,-0.00655,0.015385,0.022388,-0.001929
1989,8,7,0.037363,0.016234,0.019465,0.012769
1989,8,8,-0.008475,0.007455,0,0.001176
1989,8,9,-0.002137,-0.009514,-0.023866,-0.004222
1989,8,10,0,0.003202,0.022005,0.00378
1989,8,11,-0.012848,-0.017021,-0.007177,-0.007458
1989,8,14,-0.017354,0.005411,0.00241,-0.004587
1989,8,15,0.00883,0.001076,0.014423,0.003602
1989,8,16,0.006565,-0.006452,0.016588,0.002686
1989,8,17,0.004348,-0.006494,0,-0.002895
1989,8,18,0.004329,0.002179,0.002331,0.003228
1989,8,21,-0.025862,-0.017391,-0.016279,-0.012055
1989,8,22,-0.002212,0.005531,-0.007092,0.000234
1989,8,23,0.011086,0.0033,0.004762,0.008866
1989,8,24,0.019737,0.017544,0.021327,0.01664
1989,8,25,0.008602,0.001078,0.009281,-0.001331
1989,8,28,0.002132,0.016146,0.011494,0.003174
1989,8,29,-0.008511,-0.013771,-0.009091,-0.004317
1989,8,30,-0.004292,0.004296,0,0.002741
1989,8,31,-0.006466,0.002139,0.006881,0.001632
1989,9,1,0.010846,0.002134,0.004556,0.005839
1989,9,5,0,0.003195,0.00907,-0.00187
1989,9,6,-0.017167,-0.008493,0.002247,-0.007802
1989,9,7,-0.010917,-0.004283,0.015695,-0.001567
1989,9,8,-0.002208,-0.002151,0.00883,0.001085
1989,9,11,0.002212,0.002155,-0.004376,-0.002695
1989,9,12,0.004415,0.005376,0.015385,0.003427
1989,9,13,-0.024176,-0.012834,0.002165,-0.007147
1989,9,14,0.006757,0.00325,-0.017279,-0.006968
1989,9,15,0.024609,-0.00216,-0.006593,0.002019
1989,9,18,0.00655,0.005411,0.002212,0.003637
