"ge","ibm","mobil","crsp"
-0.011984,-0.059524,-0.014043,-0.006714
-0.060377,-0.007004,-0.078431,-0.053641
0.066474,0.070303,0.21513,0.030505
0.059621,0.044586,0.029961,0.020528
-0.035806,-0.025,0.026667,0.005038
-0.038196,0.058777,-0.12987,-0.067388
-0.043056,-0.03923,-0.060981,-0.065173
-0.027576,0.066256,0.107798,0.051488
0.022687,0.000725,-0.10352,-0.02259
-0.010294,0.044171,-0.044342,0.055647
-0.047548,-0.006935,-0.05379,-0.032166
-0.024649,0.021008,-0.049096,-0.019683
-0.066129,-0.080247,-0.147283,-0.073252
-0.025907,0.018494,0.097087,0.056708
0.055319,-0.005143,0.017699,-0.004729
-0.033898,-0.119645,-0.035362,-0.105318
-0.068421,-0.063087,0.073171,-0.064346
0.026742,-0.100719,-0.005682,-0.051075
0.138889,0.0138,0.082286,0.074191
0.021138,0.0555,0.064171,0.050047
0.083121,0.095775,0.042714,0.04751
0.019259,0.011825,0.042892,-0.018181
0.027616,0.045068,0.065421,0.05045
0.06959,0.034174,0.008772,0.060713
0.057257,0.02439,-0.076522,0.05203
0.089421,0.037788,0.038095,0.016899
0.04185,0.062407,0.013761,0.044788
0.097098,0.000699,0.068326,0.033326
-0.024415,-0.08232,-0.070664,-0.036386
0.019395,-0.030581,0.02765,0.00313
-0.121399,-0.08123,-0.055605,-0.04027
0.161592,0.04824,-0.057692,0.042502
-0.002419,-0.000822,-0.007653,-0.005016
-0.052846,-0.0107,0.02365,-0.040671
0.025751,0.020965,0.015267,-0.001263
0.053975,0.101473,0.095238,0.091268
-0.00998,0.093611,-0.01373,0.028385
-0.022177,0.005027,0.030626,0.031338
0.071753,0.037313,-0.063781,0.008728
0.046422,0.00981,0.017032,0.005491
0.016636,0.033938,0.069856,0.016372
-0.038545,-0.014456,0.0181,-0.020894
-0.041825,0.022321,0.057778,-0.004248
0.055556,0.022707,0.141176,0.035972
0.003383,-0.004896,0.016729,-0.00767
-0.037665,-0.051661,0.023035,0.008678
0.068102,0.017769,0.059567,0.04977
0.073665,0.028133,0.008518,0.011246
-0.039451,0.083333,0.016216,-0.027655
-0.039643,-0.00597,-0.139262,-0.044492
-0.035514,0,0.089669,-0.007942
-0.081395,-0.054461,-0.044723,-0.051735
0.004219,-0.032261,-0.026966,-0.024497
-0.029832,0.007149,0.001946,-0.008689
0.093682,-0.007886,-0.053204,0.057109
-0.057769,-0.039364,-0.020747,-0.029654
0.072304,-0.142857,0.067797,0.053993
0.037698,0.08624,-0.070238,-0.000296
-0.028298,-0.050419,-0.181425,-0.12088
-0.00198,-0.068868,0.118734,0.011442
-0.049603,-0.006079,-0.05566,0.005024
-0.047599,-0.024852,-0.098985,0.002648
-0.041943,-0.008933,0.025352,-0.022878
-0.059908,-0.036055,-0.04011,-0.046377
-0.053922,-0.059274,-0.03207,-0.041974
0.029016,0.001176,-0.033133,-0.022946
-0.126904,-0.052291,0.029283,-0.070891
-0.119186,-0.040298,-0.08642,-0.087741
