KO.Adjusted	PEP.Adjusted
20.52	53.31
20.53	53.67
20.39	53.5
20.52	53.62
20.54	53.84
20.57	54.52
20.59	55.2
20.51	54.99
20.49	55.12
20.53	55.24
20.43	55.18
20.39	55.09
20.29	55.08
20.33	55.11
20.33	55.41
20.25	54.75
20.21	54.78
20.16	54.9
20.2	55.32
20.23	55.45
20.32	55.57
20.38	55.28
20.24	55.1
20.3	54.73
20.29	54.82
20.22	53.81
20.18	54.32
20.25	54.16
20.37	54.23
20.23	53.84
20.22	54.46
20.22	54.92
20.19	54.91
20.1	55.26
19.98	54.96
19.97	54.89
20.16	54.81
19.6	53.34
19.72	53.67
19.65	53.91
19.39	53.48
19.56	53.35
19.83	53.77
19.75	53.59
19.92	53.84
20.1	53.7
20.26	53.94
20.02	53.08
20.02	53.53
20.03	53.79
20.09	53.43
20.14	53.66
20.26	54.14
20.53	54.81
20.53	54.75
20.44	54.73
20.49	54.56
20.43	53.76
20.39	53.71
20.47	54.3
20.42	54.28
20.64	54.13
20.84	54.14
21.04	54.42
21.07	54.38
21.12	53.79
21.31	54.15
21.12	53.98
21.13	54.79
21.22	55
21.39	55.13
21.94	56.19
21.98	56.29
22.02	56.39
22.16	56.92
21.98	56.87
22	56.71
22.02	57.2
22.16	56.71
22.15	56.61
22.21	56.44
22.39	56.7
22.43	57.23
22.51	57.48
22.64	57.57
22.81	57.63
22.58	57.34
22.6	57.36
22.33	56.66
22.42	57.04
22.38	57.04
22.32	57.6
22.44	58.62
22.21	58.49
22.39	59.33
22.09	58.95
21.9	58.64
21.84	58.66
21.8	58.45
22.08	58.77
22.2	58.48
22.57	58.56
22.55	58.35
22.47	58.67
22.41	58.33
22.26	57.74
22.13	57.59
21.86	56.98
21.99	57.2
21.97	56.71
21.76	56.7
22	57.01
21.98	57.44
22.09	57.26
22.17	57.18
22.01	56.5
22.06	56.26
22.31	56.57
22.11	55.7
22.18	55.52
22.25	55.53
22.46	55.96
22.54	56.03
22.41	55.69
22.51	56.07
22.66	56.32
22.56	56.6
22.53	56.86
22.57	56.72
22.32	56.56
22.31	56.77
22.54	57.48
22.75	57.41
23.07	57.53
22.77	57.02
22.89	56.79
23	56.22
22.79	55.53
22.98	57.18
22.8	56.9
23.15	58.67
22.69	57.4
22.39	56.38
22.44	56.59
22.32	56.35
22.82	57.05
22.98	57.37
22.82	57.08
23.23	58.83
23.33	59.39
23.93	60.06
23.92	58.82
23.55	58.35
23.35	58.46
23.19	57.67
23.06	57.83
22.95	58.71
23.32	59.58
23.35	58.92
23.14	58.78
23.11	59.08
23.12	58.32
23.13	58.58
23.13	58.48
22.81	57.97
22.92	58.56
22.87	58.27
23.04	58.42
23.29	58.92
23	58.66
23.41	59.2
23.38	58.7
23.37	59.11
23.84	60.33
24.07	60.08
24.08	60.34
24.31	60.06
23.82	60.27
24.31	61.2
24.4	61.4
24.27	61.33
24.37	61.68
24.44	61.52
24.57	61.49
24.72	62.37
24.71	62.7
24.77	63.26
24.95	63.9
24.96	63.69
24.81	63.44
24.94	63.78
25.03	63.67
24.91	63.82
24.94	63.21
