"hs","hssa"
7.98933,NA
8.83961,NA
8.94841,NA
8.98907,NA
8.39087,NA
9.09204,NA
9.12005,NA
9.04617,NA
8.41013,NA
9.22375,NA
9.21443,NA
9.14145,NA
8.45105,NA
9.27685,NA
9.33756,NA
9.45561,NA
8.77976,NA
9.27263,NA
9.41833,NA
9.62011,NA
8.75794,NA
9.43931,NA
9.4839,NA
9.47211,NA
8.79664,9.27878
9.11291,8.91036
9.1644,9.04028
9.29422,9.16517
8.48501,9.02635
9.54072,9.39636
9.54173,9.4611
9.32963,9.28318
8.94546,9.45438
9.65637,9.51024
9.53218,9.41622
9.74087,9.65592
9.33424,9.8145
9.74377,9.58554
9.62086,9.44651
9.48319,9.30565
8.77168,9.23585
9.2078,9.13058
9.5531,9.47121
9.8945,9.79333
8.98494,9.45001
9.72167,9.65538
9.79269,9.67808
9.78452,9.68191
9.32732,9.77723
9.87133,9.76534
9.89598,9.76884
9.82695,9.71229
9.31671,9.77707
9.88422,9.77881
9.93495,9.80413
9.85924,9.74537
9.38782,9.8029
9.81992,9.65787
9.60643,9.45394
9.33082,9.20672
8.7197,9.21726
9.64702,9.55117
9.81971,9.7525
9.93424,9.87231
9.41461,9.83747
9.94131,9.8189
9.83033,9.70402
9.81435,9.69841
9.21837,9.6367
9.85179,9.76964
9.85837,9.77676
9.82785,9.70147
9.51044,9.84956
9.62183,9.50405
9.66669,9.52819
9.62811,9.50549
9.07376,9.43615
9.52627,9.41328
9.51131,9.41373
9.59028,9.51147
8.94841,9.23936
9.23204,9.11021
9.33353,9.26256
9.42907,9.37326
8.92435,9.27774
9.68676,9.56373
9.49022,9.44123
9.27191,9.20978
9.07742,9.278
9.09152,8.93882
8.85756,8.8007
9.23682,9.20978
8.96946,9.36639
9.7473,9.53403
9.19638,9.1643
9.201,9.1701
8.87905,9.22441
9.29149,9.06499
9.22674,9.17874
9.07879,9.05499
8.85371,9.21533
9.48976,9.29932
9.45644,9.39659
9.50711,9.50673
9.06678,9.45263
9.76025,9.56119
9.66453,9.59579
9.62982,9.63142
9.45355,9.81024
10.0233,9.82192
9.91106,9.83895
9.7007,9.7047
9.28863,9.63996
9.88458,9.68554
9.74936,9.66689
9.65686,9.67826
9.38154,9.72698
9.80212,9.58075
9.68537,9.5842
9.62163,9.63633
9.39831,9.72549
9.757,9.53303
9.36826,9.27253
9.12187,9.11481
8.55282,8.94173
9.4664,9.26625
9.47698,9.42029
9.40996,9.45372
8.95299,9.34526
9.59927,9.39728
9.46392,9.35131
9.33586,9.35203
8.84304,9.25701
9.48154,9.26283
9.39041,9.29626
9.33388,9.34307
8.84029,9.25595
9.55185,9.34914
9.37407,9.28447
9.17906,9.17988
8.63498,9.08692
9.09193,8.88837
8.98369,8.85881
8.90404,8.89373
8.43822,8.87019
9.24975,9.04389
9.21207,9.08345
9.09324,9.10529
8.80297,9.25462
9.42889,9.22276
9.35262,9.24205
9.25417,9.25462
8.86733,9.25383
9.37656,9.17874
9.24503,9.13837
9.17713,9.18701
8.84626,9.2296
9.44296,9.25754
9.36823,9.25754
9.3138,9.30993
8.95635,9.32119
9.41121,9.23503
9.42392,9.34623
9.33444,9.31969
9.02091,9.36211
9.54631,9.38849
9.43065,9.34502
9.44894,9.44277
