Date,Pecos_flow,SJ_East_flow,SJ_West_flow,Plains_N_flow,Plains_S_flow,Socal regions inflow:,Socal_Ehrenberg_inflow,Socal_Topock_inflow,,socal_val,El Paso Permian INDEX_VAL,El Paso SanJuan INDEX_VAL
9/16/2007,1130118,409311,2217628,29319,419489,,643000,530000,,5.685,5.385,5.36
9/17/2007,1105125,380828,2217628,29204,391512,,624000,525000,,5.685,5.385,5.36
9/18/2007,745276,303969,2217628,93296,227725,,490000,532000,,5.835,5.775,5.375
9/19/2007,698220,327725,2217628,113881,230217,,576000,536000,,5.755,5.565,5.475
9/20/2007,778948,325398,2217629,150466,192731,,694000,528000,,5.585,5.31,5.18
9/21/2007,657441,298745,2180888,197053,104412,,555000,497000,,5.275,5.015,4.9
9/22/2007,704892,257632,2217629,154500,98405,,494000,481000,,5.085,5.005,4.825
9/23/2007,650825,313325,2217629,150676,156414,,532000,483000,,5.085,5.005,4.825
9/24/2007,661505,346786,2217628,153536,181736,,524000,490000,,5.085,5.005,4.825
9/25/2007,723555,413107,2167628,147126,273164,,458000,536000,,5.48,5.38,5.16
9/26/2007,628849,359858,2144791,146323,229824,,484000,527000,,5.845,5.78,5.545
9/27/2007,901491,584414,2217629,172816,431055,,659000,533000,,5.83,5.675,5.495
9/28/2007,708744,319399,2217629,144158,198098,,420000,525000,,5.555,5.415,5.335
9/29/2007,664969,323814,2217628,144655,201818,,398000,534000,,5.555,5.415,5.335
9/30/2007,727722,355448,2217628,144650,234215,,478000,538000,,5.555,5.415,5.335
10/1/2007,894259,367502,2256000,130297,254773,,544000,467000,,5.81,5.575,5.44
10/2/2007,632045,321928,2175000,128499,225456,,463000,441000,,5.95,5.8,5.645
10/3/2007,545713,333282,2175000,181704,163656,,466000,484000,,6.41,6.185,6.17
10/4/2007,472565,262363,2204469,176287,99866,,480000,437000,,6.87,6.185,6.615
10/5/2007,629008,359141,2256000,213429,163812,,584000,450000,,6.595,5.82,6.455
10/6/2007,875435,352125,2256000,131504,251370,,584000,430000,,6.46,6.325,6.22
10/7/2007,798031,343680,2236000,131831,243160,,621000,420000,,6.46,6.325,6.22
10/8/2007,855427,254454,2206000,132335,152893,,518000,396000,,6.46,6.325,6.22
10/9/2007,750641,267000,2162828,147422,147112,,434000,469000,,6.57,6.47,6.365
10/10/2007,698580,250000,1953382,162879,120487,,440000,362000,,6.7,6.55,6.525
10/11/2007,698581,272998,2216000,160909,134628,,425000,439000,,6.685,6.565,6.4
10/12/2007,928676,331243,2216000,153395,209510,,533000,495000,,6.685,6.51,6.455
10/13/2007,839423,380911,2256000,158595,253202,,603000,487000,,6.265,6.06,5.935
10/14/2007,803811,388046,2256000,158609,260645,,595000,504000,,6.265,6.06,5.935
10/15/2007,979491,470810,2183000,150797,348075,,589000,525000,,6.265,6.06,5.935
10/16/2007,1134983,420901,2183000,140803,312045,,451000,501000,,6.81,6.6,6.445
10/17/2007,1127974,494347,2110000,149960,364988,,555000,507000,,7.03,6.815,6.71
10/18/2007,1148869,493796,2110000,152395,360969,,604000,465000,,6.8,6.565,6.465
10/19/2007,979649,491463,2110000,152144,353121,,604000,465000,,6.84,6.615,6.49
10/20/2007,1026225,430882,2185000,151884,287679,,526000,460000,,6.61,6.385,6.245
10/21/2007,924309,385596,2256000,151312,244528,,699000,508000,,6.61,6.385,6.245
