Date,Open,High,Low,Close,Volume,Adj Close
1/4/2010,62.63,63.07,62.31,62.78,5839300,53.99
1/5/2010,62.66,62.75,62.19,62.3,7099000,53.58
1/6/2010,62.2,62.41,61.06,61.45,10551300,52.85
1/7/2010,61.25,62.34,61.11,61.9,7517700,53.24
1/8/2010,62.27,62.41,61.6,61.84,6107300,53.19
1/11/2010,62.02,62.43,61.85,62.32,6081300,53.6
1/12/2010,62.03,62.66,62,62.66,7199400,53.89
1/13/2010,62.86,63.29,62.56,62.59,8623000,53.83
1/14/2010,62.56,62.73,62.09,62.65,7095600,53.88
1/15/2010,62.67,62.98,62.05,62.28,9429100,53.56
1/19/2010,62.9,63.82,62.77,63.48,8551500,54.6
1/20/2010,63.49,63.6,62.75,63.01,6996800,54.19
1/21/2010,62.97,63.6,62.8,63.2,11724100,54.36
1/22/2010,63.23,64.78,62.81,63.39,15645900,54.52
1/25/2010,63.34,63.6,62.92,63.09,6382200,54.26
1/26/2010,62.75,64,62.75,63.81,9292700,54.88
1/27/2010,63.67,64,63.3,63.73,8080800,54.81
1/28/2010,63.85,63.87,62.75,62.83,8560100,54.04
1/29/2010,62.82,63.22,62.39,62.43,7589600,53.69
2/1/2010,62.83,63.97,62.83,63.89,8062700,54.95
2/2/2010,63.87,64.05,63.35,64.03,7271400,55.07
2/3/2010,64.63,65.75,64.61,65.21,13695300,56.08
2/4/2010,65.19,65.27,64.02,64.06,10868400,55.1
2/5/2010,64.07,64.34,62.63,63.37,14007600,54.5
2/8/2010,63.48,63.8,62.92,62.92,6975100,54.12
2/9/2010,63.15,63.85,62.77,63.57,10131500,54.67
2/10/2010,63.54,63.83,62.97,63.25,6161300,54.4
2/11/2010,63.25,63.84,62.54,63.79,7478900,54.86
2/12/2010,63.21,63.89,63.19,63.59,6749800,54.69
2/16/2010,63.5,64.18,63.28,64.01,7090200,55.05
2/17/2010,64.21,64.35,63.77,64.26,5424600,55.27
2/18/2010,64.11,64.62,64,64.48,4975800,55.46
2/19/2010,64.46,64.89,64.3,64.74,5622600,55.68
2/22/2010,64.93,64.93,64.63,64.77,4274900,55.71
2/23/2010,64.78,65.05,64.7,64.87,7485700,55.79
2/24/2010,64.96,65.55,64.77,65.26,7579700,56.13
2/25/2010,64.29,64.64,63.76,64.38,8500000,55.84
2/26/2010,64.46,64.73,63.85,63.85,8288400,55.38
3/1/2010,63.98,64.14,63.67,63.98,6320300,55.49
3/2/2010,64.42,64.42,63.91,64.07,6271700,55.57
3/3/2010,64.25,64.34,63.45,63.63,6396100,55.19
3/4/2010,63.79,63.79,63.3,63.43,5958200,55.02
3/5/2010,63.72,63.76,63.25,63.67,8154600,55.23
3/8/2010,64.41,65.54,64.23,65.12,11825600,56.48
3/9/2010,64.99,65.5,64.84,65.1,7126900,56.47
3/10/2010,65.02,65.24,64.73,64.94,6900200,56.33
3/11/2010,64.8,65.21,64.67,65.21,4350400,56.56
3/12/2010,65.46,65.98,65.36,65.53,6601700,56.84
3/15/2010,65.7,66.19,65.69,65.93,5715100,57.19
3/16/2010,66.22,66.24,65.8,66.07,5705600,57.31
3/17/2010,66.23,66.44,65.87,66.38,4818800,57.58
3/18/2010,66.47,66.74,66.36,66.68,6206700,57.84
3/19/2010,66.53,66.91,66,66.53,10230100,57.71
3/22/2010,66.07,67.25,65.9,67.01,7386400,58.12
3/23/2010,67.14,67.35,66.83,67.35,8057700,58.42
3/24/2010,66.99,67.19,66.58,66.8,6363700,57.94
3/25/2010,67.13,67.44,66.84,66.9,5705600,58.03
3/26/2010,67.09,67.45,66.93,67.26,5984100,58.34
3/29/2010,67.46,67.48,66.59,67.07,6522600,58.17
3/30/2010,67.11,67.49,66.92,67.24,5093500,58.32
3/31/2010,67.15,67.39,66.63,66.72,5765600,57.87
4/1/2010,67.06,67.71,67.06,67.58,5474200,58.62
4/5/2010,67.76,68.2,67.76,68.03,4875200,59.01
4/6/2010,67.77,67.96,67.65,67.81,3318300,58.82
4/7/2010,67.8,68.13,67.26,67.7,6623700,58.72
4/8/2010,67.9,69.03,67.87,68.76,7141000,59.64
4/9/2010,68.66,68.77,68.14,68.68,5622100,59.57
4/12/2010,68.77,68.85,68.37,68.53,4025000,59.44
4/13/2010,68.68,69.05,68.31,68.92,5652600,59.78
4/14/2010,69.18,69.53,69.05,69.42,6193000,60.21
4/15/2010,69.31,69.49,68.97,69.16,4767200,59.99
4/16/2010,69.11,69.28,68.33,69.03,7876100,59.87
4/19/2010,69,69.97,68.99,69.92,7157900,60.65
4/20/2010,69.98,70.59,69.95,70.34,7340300,61.01
4/21/2010,70.62,71.19,70.05,70.36,10738100,61.03
4/22/2010,70.25,71.47,70.12,71.03,7139600,61.61
4/23/2010,71.22,71.35,70.75,71.15,5923700,61.71
4/26/2010,71.3,71.42,70.73,71.02,6035600,61.6
4/27/2010,70.71,71.33,70.4,70.53,8154400,61.18
4/28/2010,70.48,70.73,69.76,70.34,7589400,61.01
4/29/2010,70.58,71.7,70.58,71.52,7357400,62.03
4/30/2010,71.53,71.71,70.39,70.59,6966600,61.23
5/3/2010,70.88,71.84,70.65,71.42,5990600,61.95
5/4/2010,71.15,71.3,70.3,70.64,7240200,61.27
5/5/2010,70.4,71.06,70.13,70.66,9577700,61.29
5/6/2010,70.45,71.49,67.49,69.42,16489600,60.21
5/7/2010,69.02,69.32,67.42,68.01,15280700,58.99
5/10/2010,70.07,71.05,69.75,70.58,10903300,61.22
5/11/2010,70.17,71.1,70.13,70.48,6709900,61.13
5/12/2010,70.73,70.94,70.15,70.67,5655500,61.3
5/13/2010,70.71,71.3,70.45,70.5,5734000,61.15
5/14/2010,70.28,70.45,69.1,69.59,9111400,60.36
5/17/2010,69.82,70.25,69.35,70.14,7467000,60.84
5/18/2010,70.53,70.81,69.84,70.02,6897800,60.73
5/19/2010,69.66,69.95,68.9,69.4,7814300,60.2
5/20/2010,68.54,69.36,67.63,67.66,13571000,58.69
5/21/2010,67.07,68.04,65.55,67.86,12614800,58.86
5/24/2010,67.84,68.51,67.26,67.66,6733300,58.69
5/25/2010,66.59,67.84,66.2,67.84,9257900,58.84
5/26/2010,67.89,68.06,66,66.01,11525200,57.26
5/27/2010,66.41,67.2,66.02,67.2,9728000,58.78
5/28/2010,67.24,67.63,66.75,66.87,7164800,58.49
6/1/2010,66.23,67.31,66.04,66.36,5367700,58.04
6/2/2010,66.53,67.8,66.2,67.77,5750400,59.28
6/3/2010,67.8,68.25,67.44,67.85,4402500,59.35
6/4/2010,66.82,68.09,66.52,66.7,7558000,58.34
6/7/2010,66.64,67.82,66.25,66.75,9808400,58.38
6/8/2010,67.16,68.45,65.81,68.38,13565800,59.81
6/9/2010,68.68,68.9,68.04,68.26,8921800,59.7
6/10/2010,68.98,69.41,68.71,69.37,6743600,60.68
6/11/2010,68.86,69.55,68.75,69.54,5367100,60.82
6/14/2010,69.95,69.98,69.3,69.3,4525300,60.61
6/15/2010,69.94,70.49,69.85,70.4,6419900,61.58
6/16/2010,70.06,70.5,70.01,70.29,4548500,61.48
6/17/2010,70.55,70.58,69.38,70.05,7014900,61.27
6/18/2010,70.25,70.43,69.81,69.88,8817900,61.12
6/21/2010,70.27,70.5,69.77,69.92,5203100,61.16
6/22/2010,70.01,70.37,68.55,68.64,5487700,60.04
6/23/2010,68.82,69.3,68.47,68.63,5443200,60.03
6/24/2010,68.43,68.54,67.61,67.73,5942800,59.24
6/25/2010,67.71,68.29,67.37,67.42,8041700,58.97
6/28/2010,67.58,67.89,67.25,67.33,4427700,58.89
6/29/2010,66.61,66.79,66.09,66.46,8715200,58.13
6/30/2010,66.29,66.84,65.8,65.87,7204900,57.61
7/1/2010,66.72,66.9,65.31,66.71,10924400,58.35
7/2/2010,66.75,67,65.96,66.14,5280600,57.85
7/6/2010,66.52,67.1,65.63,66.11,5940700,57.82
7/7/2010,66.09,67.37,66,67.31,6623200,58.87
7/8/2010,67.8,69.15,67.55,69.02,7871200,60.37
7/9/2010,69.08,69.33,68.75,69.22,4513000,60.54
7/12/2010,68.96,70,68.96,69.94,5420800,61.17
7/13/2010,70.44,71.07,70.12,70.84,6072100,61.96
7/14/2010,70.5,70.98,70.16,70.9,4476100,62.01
7/15/2010,70.9,71.46,70.43,71.33,5470100,62.39
7/16/2010,71.16,71.28,69.86,69.94,5981000,61.17
7/19/2010,69.97,70.38,69.45,69.91,5072700,61.15
7/20/2010,69.47,70.96,69.44,70.87,5474300,61.99
7/21/2010,70.93,71,69.65,70.11,5734400,61.32
7/22/2010,70.51,71.54,70.51,71.4,6717900,62.45
7/23/2010,70.76,71.17,68.94,69.9,12238900,61.14
7/26/2010,70.04,70.87,69.9,70.87,5525400,61.99
7/27/2010,71.03,71.03,69.99,70.4,6214900,61.58
7/28/2010,70.21,70.38,69.37,69.77,6708400,61.03
7/29/2010,70.2,70.25,68.9,69.38,5131700,60.68
7/30/2010,68.92,69.98,68.59,69.73,5990300,60.99
8/2/2010,70.5,70.5,69.93,70.25,5873100,61.45
8/3/2010,70.21,70.84,70.06,70.45,4946000,61.62
8/4/2010,70.38,70.95,70.21,70.69,4567100,61.83
8/5/2010,70.5,70.5,69.84,70.45,5441500,61.62
8/6/2010,70.16,71.8,70.02,71.74,6775300,62.75
8/9/2010,72.41,73.34,72.35,72.92,8921200,63.78
8/10/2010,72.5,72.98,71.97,72.84,5689700,63.71
8/11/2010,72.01,72.32,71.5,71.57,5478000,62.6
8/12/2010,71.04,72.15,71.04,72.06,5641400,63.03
8/13/2010,71.69,72.47,71.69,71.89,5937300,62.88
8/16/2010,71.76,72.12,71.54,71.79,4935700,62.79
8/17/2010,72.08,73.64,71.74,73.22,7392900,64.04
8/18/2010,73.23,73.82,72.8,73.25,6030800,64.07
8/19/2010,73.15,73.4,72.45,72.97,6950500,63.82
8/20/2010,72.87,73.2,72.68,73.08,5566300,63.92
8/23/2010,73.53,73.94,73.33,73.34,5404300,64.15
8/24/2010,72.75,73.1,72.19,72.72,5846200,63.61
8/25/2010,72.3,73.45,72.3,73.19,6704600,64.02
8/26/2010,73.69,73.76,73.11,73.16,5215600,63.99
8/27/2010,73.47,74.07,72.86,73.99,6592900,64.72
8/30/2010,73.31,73.47,72.74,72.74,4192900,64.1
8/31/2010,72.56,73.32,72.55,73.06,5598100,64.38
9/1/2010,73.92,74.6,73.72,74.54,6746800,65.69
9/2/2010,74.75,75.06,74.29,75.02,5885200,66.11
9/3/2010,74.9,75.35,74.42,75.09,7328100,66.17
9/7/2010,74.97,75.98,74.93,75.8,7188700,66.8
9/8/2010,75.94,76.26,75.75,76.08,6808700,67.04
9/9/2010,74.34,76.08,73.66,74.37,14615200,65.54
9/10/2010,74.19,75.13,74.18,75.01,7483900,66.1
9/13/2010,75.25,75.34,74.01,74.57,7851500,65.71
9/14/2010,74.47,74.57,73.81,73.94,6543500,65.16
9/15/2010,73.72,74.83,73.71,74.71,4549400,65.84
9/16/2010,74.62,74.9,74.35,74.8,5073300,65.91
9/17/2010,74.6,74.79,74.13,74.32,7933500,65.49
9/20/2010,74.32,75.35,74.3,75.11,4211200,66.19
9/21/2010,75.32,75.75,74.88,75.51,5297300,66.54
9/22/2010,75.36,75.78,75,75.13,5141600,66.21
9/23/2010,75.16,75.43,74.58,74.64,5921600,65.77
9/24/2010,75.4,75.44,74.94,75.1,5843400,66.18
9/27/2010,75.23,75.39,74.75,74.76,5957400,65.88
9/28/2010,74.96,74.96,74.22,74.63,7047500,65.77
9/29/2010,74.57,74.75,74.3,74.45,4668100,65.61
9/30/2010,74.52,74.97,73.87,74.51,7237700,65.66
10/1/2010,75.04,75.2,74.54,74.92,7192400,66.02
10/4/2010,74.91,75.13,74.4,74.95,3900300,66.05
10/5/2010,75.39,75.96,75.25,75.82,5680000,66.81
10/6/2010,75.79,75.95,75.4,75.56,4732700,66.58
10/7/2010,75.51,75.99,75.51,75.86,4477200,66.85
10/8/2010,75.91,76.31,75.64,76.1,4118200,67.06
10/11/2010,76.01,76.25,75.27,75.59,3653400,66.61
10/12/2010,75.71,75.82,74.88,75.58,4703500,66.6
10/13/2010,75.89,76.07,75.41,75.75,4370700,66.75
10/14/2010,75.77,77.09,75.67,77.04,6616400,67.89
10/15/2010,77.47,77.77,76.93,77.48,6259200,68.28
10/18/2010,77.54,77.94,77.16,77.32,5375200,68.14
10/19/2010,77.08,77.62,76.68,76.99,5226000,67.84
10/20/2010,77.27,78.14,77.17,77.41,6420300,68.21
10/21/2010,78.44,79.48,78.27,78.44,7697000,69.12
10/22/2010,78.05,78.75,77.85,78.55,4224000,69.22
10/25/2010,78.99,79.25,78.63,78.7,4103000,69.35
10/26/2010,78.59,79,78.58,78.76,4030200,69.4
10/27/2010,78.46,78.62,77,77.48,8459200,68.28
10/28/2010,77.72,77.77,77.12,77.48,5346300,68.28
10/29/2010,77.6,79.9,77.4,77.77,4335000,68.53
11/1/2010,78.06,78.63,77.37,77.88,4957800,68.63
11/2/2010,78.39,78.76,78.27,78.4,3701400,69.09
11/3/2010,78.41,78.71,77.82,78.5,4060500,69.18
11/4/2010,79.12,79.47,78.84,79.18,5607000,69.77
11/5/2010,79.39,79.39,78.8,79.3,5243200,69.88
11/8/2010,78.94,79.4,78.7,79.31,4865700,69.89
11/9/2010,79.19,79.25,78.71,79.1,4534300,69.7
11/10/2010,79.07,79.58,78.66,79.5,4009900,70.06
11/11/2010,79.36,79.85,79.32,79.7,4438900,70.23
11/12/2010,79.3,79.45,78.14,78.85,4946900,69.48
11/15/2010,78.98,79.38,78.77,79.07,3741600,69.68
11/16/2010,78.6,78.64,77.12,77.42,6751400,68.22
11/17/2010,77.43,78.52,77.43,78.37,5272800,69.06
11/18/2010,78.63,79.48,78.63,79.02,11083200,69.63
11/19/2010,79.12,79.66,78.76,79.64,10866000,70.18
11/22/2010,79.37,79.53,79.06,79.52,10939500,70.07
11/23/2010,79.05,79.2,78.44,79.01,5460400,69.62
11/24/2010,79.37,79.67,79.25,79.48,4465100,70.04
11/26/2010,79.24,79.27,78.54,78.54,2576700,69.21
11/29/2010,77.94,78.47,77.15,78.26,4977600,69.5
11/30/2010,77.76,78.73,77.5,78.3,5558300,69.54
12/1/2010,79.14,79.58,79.1,79.29,5323300,70.42
12/2/2010,79.47,79.65,79.22,79.38,4994400,70.5
12/3/2010,79.31,79.79,79.05,79.76,3611200,70.84
12/6/2010,79.69,79.94,79.4,79.58,3113700,70.68
12/7/2010,79.96,80.94,79.9,80.34,7729000,71.35
12/8/2010,78.83,78.95,78.12,78.74,9359700,69.93
12/9/2010,79.2,79.21,77.45,77.61,10593300,68.93
12/10/2010,77.65,77.84,77.32,77.56,5321100,68.88
12/13/2010,77.74,77.76,77.08,77.11,6926500,68.48
12/14/2010,77.05,77.37,76.91,77.11,6040400,68.48
12/15/2010,77.23,77.45,76.91,76.98,6125800,68.37
12/16/2010,77.19,77.19,76.53,76.71,6483700,68.13
12/17/2010,76.71,76.96,76.62,76.81,8998800,68.22
12/20/2010,76.95,77.06,76.82,76.92,4759200,68.31
12/21/2010,77.14,77.14,76.51,76.86,4286100,68.26
12/22/2010,77.04,77.37,76.91,77.01,3518100,68.39
12/23/2010,77.01,77.11,76.76,76.96,2862600,68.35
12/27/2010,76.73,76.75,76.23,76.43,2612600,67.88
12/28/2010,76.44,76.61,75.94,76.43,2962900,67.88
12/29/2010,76.75,77.5,76.63,76.99,3583900,68.38
12/30/2010,76.86,77.05,76.52,76.76,2565000,68.17
12/31/2010,76.71,76.86,76.34,76.76,2485100,68.17
1/3/2011,77.1,77.59,76.6,76.6,8019700,68.03
1/4/2011,75.74,75.91,74.11,74.31,36471600,66
1/5/2011,74.68,74.9,74.31,74.66,17904000,66.31
1/6/2011,74.9,74.94,74.08,74.21,11717100,65.91
1/7/2011,74.35,74.58,73.59,74.37,11271900,66.05
1/10/2011,74.25,74.46,73.52,73.56,11338600,65.33
1/11/2011,73.84,74.49,73.57,73.9,8658800,65.63
1/12/2011,74.37,74.37,73.46,73.6,10378500,65.37
1/13/2011,73.44,73.55,72.46,72.67,14512600,64.54
1/14/2011,72.4,74.12,72.14,74.06,10570000,65.77
