GDP251  ,FYFF    ,CPIAUCSL
0.025912,0.51333,0
-0.00079968,0.49333,0.0034284
0.0035935,0.41333,0.00088197
0.021684,-0.056667,-0.0051258
-0.0046912,-0.23667,0.0050842
0.0015662,-0.76,-0.0054284
-0.013391,-0.64,0.0058371
0.0063241,-0.29333,-0.0043878
0.018349,-0.27,-0.0023479
0.016117,-0.05,0.0042386
0.020347,0.71667,-0.0024575
0.017745,0.056667,0.0024367
0.010933,0.15,-0.00012531
0.0090204,0.24,-0.00089357
0.0025112,0.076667,-0.00044697
0.01317,0.043333,0.00076008
0.0123,-0.0033333,-0.0013192
0.018686,0.36667,0.0042373
0.0078539,0.12333,-0.0033859
0.022201,0.01,0.0013947
0.011247,0.026667,-0.0024884
0.013721,-0.033333,0.00064173
0.0025924,0.12,0.0023486
0.024298,0.39667,-0.0015114
0.01349,0.10333,0.0032773
0.020053,-0.0033333,-0.003412
0.023843,0.093333,0.0023036
0.024161,0.39,0.0040373
0.0034874,0.35667,-0.00029184
0.0066503,0.49667,-0.00038698
0.0080368,0.15333,-0.00047909
0.0088232,-0.74,-0.0056115
0,-0.83333,0.0035174
0.0079029,-0.096667,0.0039517
0.007562,0.28,0.00088572
0.020437,0.61333,-0.0010914
0.016807,1.1933,-0.000095
0.0066979,-0.036667,0.0037236
0.0042633,-0.026667,-0.0011181
0.015566,0.65,-0.00014957
0.0028754,1.76,0.0035204
0.0062451,0.65667,-0.0020454
-0.0046802,-0.043333,0.0015961
-0.001826,-0.36667,0.0006469
0.001826,-0.69333,-0.0019722
0.0088221,-1.1767,-0.0036007
-0.010648,-1.1367,0.0041126
0.0273,-1.71,-0.0060309
0.0055739,0.70667,0.00075779
0.0080524,0.91,0.00073655
0.0027531,-0.72333,-0.0025326
0.01759,-1.21,0.00075324
0.023302,0.76,-0.0016663
0.0095512,0.44,0.00155
0.016264,0.40333,0.0022999
0.025166,1.3933,0.0053323
0.011335,1.28,0.0050852
-0.0051983,2.7433,-0.0011635
0.0094723,-0.56333,0.0054481
-0.0087928,-0.67333,0.0043363
0.0029395,1.9267,-0.0028921
-0.0097562,0.84,0.0013242
-0.0038835,-2.7433,0.0024942
-0.011973,-3.0433,-0.0090977
0.0071553,-0.88333,-0.0091717
0.016876,0.74,0.0078756
0.013031,-0.74667,-0.001592
0.022294,-0.58667,-0.0068654
0.0073946,0.37,-0.0024896
0.0047557,0.086667,0.0069267
0.0070915,-0.41,-0.0013929
0.012132,-0.21333,0.0037437
0.019276,0.49667,-0.00087795
0.017893,0.66333,-0.0035641
-0.00020385,0.69333,0.00089019
0.0032567,0.24333,0.0024366
0.038666,0.52667,0.0054175
0.0097277,0.81667,0.00051666
0.01308,1.4833,-0.0000232
0.0019091,0.49,0.0018952
0.0009532,0.10667,0.0064237
