Date,Open,High,Low,Close,Volume,Adj Close
1/3/2011,1257.62,1276.17,1257.62,1271.87,4286670000,1271.87
1/4/2011,1272.95,1274.12,1262.66,1270.2,4796420000,1270.2
1/5/2011,1268.78,1277.63,1265.36,1276.56,4764920000,1276.56
1/6/2011,1276.29,1278.17,1270.43,1273.85,4844100000,1273.85
1/7/2011,1274.41,1276.83,1261.7,1271.5,4963110000,1271.5
1/10/2011,1270.84,1271.52,1262.18,1269.75,4036450000,1269.75
1/11/2011,1272.58,1277.25,1269.62,1274.48,4050750000,1274.48
1/12/2011,1275.65,1286.87,1275.65,1285.96,4226940000,1285.96
1/13/2011,1285.78,1286.7,1280.47,1283.76,4310840000,1283.76
1/14/2011,1282.9,1293.24,1281.24,1293.24,4661590000,1293.24
1/18/2011,1293.22,1296.06,1290.16,1295.02,5284990000,1295.02
1/19/2011,1294.52,1294.6,1278.92,1281.92,4743710000,1281.92
1/20/2011,1280.85,1283.35,1271.26,1280.26,4935320000,1280.26
1/21/2011,1283.63,1291.21,1282.07,1283.35,4935320000,1283.35
1/24/2011,1283.29,1291.93,1282.47,1290.84,3902470000,1290.84
1/25/2011,1288.17,1291.26,1281.07,1291.18,4595380000,1291.18
1/26/2011,1291.97,1299.74,1291.97,1296.63,4730980000,1296.63
1/27/2011,1297.51,1301.29,1294.41,1299.54,4309190000,1299.54
1/28/2011,1299.63,1302.67,1275.1,1276.34,5618630000,1276.34
1/31/2011,1276.5,1287.17,1276.5,1286.12,4167160000,1286.12
2/1/2011,1289.14,1308.86,1289.14,1307.59,5164500000,1307.59
2/2/2011,1305.91,1307.61,1302.62,1304.03,4098260000,1304.03
2/3/2011,1302.77,1308.6,1294.83,1307.1,4370990000,1307.1
2/4/2011,1307.01,1311,1301.67,1310.87,3925950000,1310.87
2/7/2011,1311.85,1322.85,1311.85,1319.05,3902270000,1319.05
2/8/2011,1318.76,1324.87,1316.03,1324.57,3881530000,1324.57
2/9/2011,1322.48,1324.54,1314.89,1320.88,3922240000,1320.88
2/10/2011,1318.13,1322.78,1311.74,1321.87,4184610000,1321.87
