"X.Y..m..d","BMW.RET"
"1973-01-02",0.047704097
"1973-01-03",0.007127223
"1973-01-04",0.008883307
"1973-01-05",-0.012440569
"1973-01-08",-0.003569961
"1973-01-09",0
"1973-01-10",0.001740804
"1973-01-11",-0.001740804
"1973-01-12",0.001740804
"1973-01-15",0
"1973-01-16",-0.001740804
"1973-01-17",0.033455174
"1973-01-18",0.047370214
"1973-01-19",0.02348919
"1973-01-22",-0.005467663
"1973-01-23",-0.033019677
"1973-01-24",0.042774239
"1973-01-25",0.0378561
"1973-01-26",0.009224649
"1973-01-29",-0.001570845
"1973-01-30",-0.015446463
"1973-01-31",0.015446463
"1973-02-01",-0.006149984
"1973-02-02",-0.023445763
"1973-02-05",-0.055259919
"1973-02-06",-0.010148006
"1973-02-07",0.033238641
"1973-02-08",-0.003853569
"1973-02-09",-0.022665543
"1973-02-12",0.006759962
"1973-02-13",0.029494219
"1973-02-14",-0.013588638
"1973-02-15",-0.027657807
"1973-02-16",0.019990415
"1973-02-19",-0.02171768
"1973-02-20",0.026695543
"1973-02-21",0.006543099
"1973-02-22",0.04007255
"1973-02-23",-0.015869493
"1973-02-26",0.020517683
"1973-02-27",0.021671206
"1973-02-28",-0.001566048
"1973-03-01",-0.007077727
"1973-03-02",-0.000552595
"1973-03-05",0.007630322
"1973-03-06",0.003051526
"1973-03-07",0.00101511
"1973-03-08",0.00661198
"1973-03-09",-0.012718152
"1973-03-12",0.011243969
"1973-03-13",0.00302361
"1973-03-14",0.022428128
"1973-03-15",-0.005921669
"1973-03-16",0.020574221
"1973-03-19",-0.005835283
"1973-03-20",-0.011773721
"1973-03-21",0.00643235
"1973-03-22",0.003914783
"1973-03-23",-0.001503873
"1973-03-26",-0.023835128
"1973-03-27",-0.012095046
"1973-03-28",0.015096087
"1973-03-29",0
"1973-03-30",-0.003001041
"1973-04-02",-0.003010074
"1973-04-03",-0.004493345
"1973-04-04",-0.023092449
"1973-04-05",0.009332557
"1973-04-06",-0.001575672
"1973-04-09",-0.007756885
"1973-04-10",-0.003103739
"1973-04-11",-0.002793632
"1973-04-12",0.015229929
"1973-04-13",-0.006159211
"1973-04-16",0.01836498
"1973-04-17",0
"1973-04-18",0.03289267
"1973-04-19",0.0102565
"1973-04-20",0
"1973-04-23",0
"1973-04-24",-0.002909039
"1973-04-25",-0.020679982
"1973-04-26",-0.016531844
"1973-04-27",0.040120865
"1973-04-30",0.002900601
"1973-05-01",0
"1973-05-02",0.014378128
"1973-05-03",-0.033422038
"1973-05-04",-0.011878614
"1973-05-07",-0.025838424
"1973-05-08",0.016758645
"1973-05-09",-0.01213173
"1973-05-10",-0.016964939
"1973-05-11",0.007768569
"1973-05-14",-0.028188926
"1973-05-15",-0.024085666
"1973-05-16",0.003239609
"1973-05-17",-0.001660027
"1973-05-18",-0.013043663
"1973-05-21",-0.035115366
"1973-05-22",0.023518334
"1973-05-23",0.014873933
"1973-05-24",0.004937042
"1973-05-25",0.030498439
"1973-05-28",0
"1973-05-29",-0.028913718
"1973-05-30",-0.006521762
"1973-05-31",0
"1973-06-01",-0.024885568
"1973-06-04",0.011713039
"1973-06-05",0.009306328
"1973-06-06",0.010387963
"1973-06-07",0.001665418
"1973-06-08",-0.004920982
"1973-06-11",0
"1973-06-12",0.006500565
"1973-06-13",0.011316356
"1973-06-14",0.003198166
"1973-06-15",-0.011280018
"1973-06-18",0.009723214
"1973-06-19",0
"1973-06-20",0.025262456
"1973-06-21",0
"1973-06-22",0.001597827
"1973-06-25",-0.03006344
"1973-06-26",-0.011334144
"1973-06-27",0.001579582
"1973-06-28",-0.013043663
"1973-06-29",-0.006586193
"1973-07-02",0.004901556
"1973-07-03",0
"1973-07-04",-0.011531415
"1973-07-05",-0.010114083
"1973-07-06",0.001721467
"1973-07-09",-0.008463648
"1973-07-10",0
"1973-07-11",0.030072316
"1973-07-12",-0.009895628
"1973-07-13",-0.008364678
"1973-07-16",0.006663274
"1973-07-17",-0.018475284
"1973-07-18",-0.013622285
"1973-07-19",0
"1973-07-20",-0.003434765
"1973-07-23",-0.035103923
"1973-07-24",0
"1973-07-25",-0.0290171
"1973-07-26",-0.050842876
"1973-07-27",-0.012849422
"1973-07-30",0.012849422
"1973-07-31",0.057779537
"1973-08-01",-0.014111241
"1973-08-02",0.014111241
"1973-08-03",0.039382379
"1973-08-06",-0.007753375
"1973-08-07",0.009727177
"1973-08-08",0.01908709
"1973-08-09",0.005612081
"1973-08-10",0.009399547
"1973-08-13",-0.039941694
"1973-08-14",0
"1973-08-15",0
"1973-08-16",0.011562895
"1973-08-17",-0.019346444
"1973-08-20",-0.013722656
"1973-08-21",-0.009998232
"1973-08-22",0
"1973-08-23",0
"1973-08-24",-0.02011157
"1973-08-27",0
"1973-08-28",0.016102801
"1973-08-29",-0.01202909
"1973-08-30",0.016037858
"1973-08-31",0.007969646
"1973-09-03",0.007173764
"1973-09-04",0.031748698
"1973-09-05",-0.009544696
"1973-09-06",-0.007738027
"1973-09-07",0.001895051
"1973-09-10",-0.015628157
"1973-09-11",0.015628157
"1973-09-12",0.009689651
"1973-09-13",-0.023305183
"1973-09-14",-0.005958128
"1973-09-17",-0.021936004
"1973-09-18",-0.008114783
"1973-09-19",0.002082151
"1973-09-20",0.008004186
"1973-09-21",-0.008004186
"1973-09-24",-0.031013959
"1973-09-25",0.006318983
"1973-09-26",-0.006318983
"1973-09-27",0.026940248
"1973-09-28",0.004073711
"1973-10-01",-0.028870753
"1973-10-02",-0.008404232
"1973-10-03",0.004210945
"1973-10-04",-0.008439697
"1973-10-05",-0.01279462
"1973-10-08",-0.039396412
"1973-10-09",0.004454812
"1973-10-10",-0.012586633
"1973-10-11",-0.019022026
"1973-10-12",0.018184241
"1973-10-15",-0.009050788
"1973-10-16",-0.018351096
"1973-10-17",0.018351096
"1973-10-18",0.004535634
"1973-10-19",0.01348476
"1973-10-22",0.01248533
"1973-10-23",-0.005862103
"1973-10-24",0.01464215
"1973-10-25",-0.003563977
"1973-10-26",0.021695014
"1973-10-29",0.014862059
"1973-10-30",-0.010578971
"1973-10-31",-0.019470707
"1973-11-01",0.023735529
"1973-11-02",-0.015057372
"1973-11-05",-0.055463643
"1973-11-06",0.004556299
"1973-11-07",-0.004556299
"1973-11-08",0.011299555
"1973-11-09",0.011277137
"1973-11-12",-0.038743203
"1973-11-13",-0.033027304
"1973-11-14",-0.066891428
