id  Aggression test 
   1          3    0
   2        104    5
  3         50    0
   4          9    0
   5         68    0
   6         29    6
   7         74    0
   8         11    1
   9         18    1
 10         39    2
 11          0   17
 12         56    0
 13         54    3
 14         77    6
 15         14    4
 16         32    2
 17         34    4
 18         13    2
 19         96    0
 20         84    0
 21          5   13
 22          4    9
 23         18    1
 24         76    4
    25           34      2
    26           14      0
    27            9      4
    28           28      0
    29            7      4
    30           11      6
    31           21      4
    32           30      4
    33           26      1
   34            2      6
   35           11      6
   36           12     13
   37            6      3
   38            3      1
   39            3      0
   40           47      3
   41           19      1
   42            2      6
   43           25      1
   44           37      0
   45           11      2
   46           14     11
   47            0      3
