Desired number of sexual partners. 1=male, 2=female.
SEX	next_mo	next30yr
1	0	0
1	0	5
1	0	0
1	1	1
1	1	12
1	1	1
1	2	10
1	1	1
1	1	9
1	NA 	NA 
1	0	1
1	1	NA 
1	1	2
1	1	7
1	1	1
1	4	250
1	1	5
1	0	 NA
1	1	8
1	0	1
1	1	2
1	4	1572
1	0	1
1	1	5
1	0	1
1	 NA	 NA
1	1	4
1	1	1
1	2	 NA
1	1	5
1	1	2
1	1	4
1	5	50
1	NA 	 NA
1	10	100
1	2	60
1	0	1
1	2	6
1	2	7
1	1	10
1	2	2
1	15	 NA
1	1	1
1	1	1
1	1	 NA
1	1	1
1	1	2
1	1	10
1	5	75
1	0	1
1	NA 	 NA
1	1	1
1	NA 	 NA
1	20	 NA
1	1	1
1	1	1
1	1	1
1	4	 NA
1	2	7
1	1	1
1	2	20
1	1	1
1	1	 NA
1	0	7
1	1	2
1	2	19
1	0	5
1	1	1
1	0	0
1	1	1
1	2	13
1	1	5
1	1	 NA
1	1	6
1	0	1
1	1	3
1	1	1
1	0	1
1	0	10
1	0	1
2	1	10
2	0	1
2	1	1
2	0	2
2	0	1
2	1	1
2	1	1
2	1	6
2	1	1
2	1	1
2	1	1
2	1	1
2	1	3
2	1	NA
2	1	 NA
2	1	 NA
2	 NA	3
2	0	0
2	1	4
2	0	1
2	1	1
2	1	3
2	0	1
2	0	1
2	1	1
2	1	1
2	1	1
2	1	1
2	2	23
2	0	1
2	1	6
2	1	5
2	0	2
2	1	1
2	0	3
2	0	1
2	0	0
2	0	1
2	1	2
2	1	1
2	1	1
2	0	0
2	0	1
2	0	0
2	1	1
2	1	12
2	1	 NA
2	1	1
2	0	10
2	1	3
2	2	NA 
2	0	NA 
2	1	1
2	1	1
2	0	3
2	0	7
2	1	3
2	0	10
2	1	1
2	1	1
2	1	1
2	1	1
2	1	4
2	1	1
2	0	1
2	1	1
2	6	 NA
2	0	1
2	1	1
2	1	1
2	1	1
2	1	5
2	2	11
2	1	1
2	0	1
2	1	1
2	1	4
2	1	6
2	0	3
2	1	5
2	1	1
2	0	1
2	0	2
2	0	1
2	0	6
2	1	5
2	1	1
2	0	0
2	1	5
2	1	2
2	1	1
2	0	1
2	1	1
2	1	1
2	0	1
2	0	1
2	0	1
2	1	1
2	1	1
2	1	2
2	1	6
2	1	1
2	0	5
2	0	5
2	0	3
2	1	5
2	1	6
2	0	2
2	0	1
2	0	3
2	1	1
2	1	1
2	1	3
2	1	1
2	1	 NA
2	1	6
2	1	1
2	1	2
2	1	1
2	0	1
2	1	15
2	1	2
2	1	2
2	1	1
2	1	4
2	0	4
2	1	1
2	0	1
2	1	1
2	0	8
2	1	3
2	0	9
2	0	2
2	0	1
2	0	1
2	0	 NA
2	1	3
2	1	1
2	1	1
2	1	6
2	1	1
2	2	4
2	0	1
2	0	1
2	0	1
2	1	4
2	1	1
1	1	3
2	1	1
1	1	1
1	0	8
1	1	12
1	1	5
2	1	1
1	9	1500
