Col 1=id
Col 2 TAAST1 score Auditory analysis (A measure of phonological awareness)
Col 3 SBT1 Sound blending (Another measure of phonological awareness)
Col 4 RAN1T1 (Measure of speeded naming for digits)
Col 5 Ran2T1 (Measure of speeded naming for letters)
Col 6 LOWLNT1 Accuracy of identiying lower case letters
Col 7 Speed of identifying lower case letters
Goal is to predict the remaining variables (Col 8-9 considered most important)
Col 8 WWISST2 Ability to identify words
Col 9 WWASST2 Ability to decode words
Col 10 OCT2 Orthographic ability
Col 11 LSTT2 Letter sound task (A beginning measure of decoding skill
Col 12 SILVCT2 Reading Comprehension
  2 19   11    34   29   26  610  129  111   17   38   26   
  3  9   10    49   53   26 1073  107   97   16   35   13   
  4 10    3    49   65   20  876   91   68   15   27   10   
  5 13    4    44   67   23 1641  110  110   17   38    6   
  6 15    5    66   59   24 1105  104   95   14   33   13   
  7 17    9    48   47   24 1138  101   93   17   29    7   
  8 17   10    49   47   23 1370  105   97   16   31   10   
  9 27   15    39   36   25  752  125  117   18   40   26   
 10  9    5    54   54   20 1238   82   76   16   26    7   
 11 11    5    57   68   24 1110   92   93   16   29    0   
 12 10    8    39   42   24  838  104   93   18   27   13   
 13  9    7    NA  118    6 2297   64   85   15   13    0   
 14 20    7    65   31   24 1022  134  107   21   32   29   
 15 23   10    43   43   25  911  105  103   19   34   13   
 16 10    1    43   54   19  853   95   90   16   27    9   
 17 13    5    44   41   24  854  101   68   16   20    6   
 18  7   10    42   78   22 1606  104   99   17   33   18   
 19 22    8    71   60   22  896  105   95   17   30    3   
 20 15    9    40   38   24  645  122   97   21   30   17   
 22  8    7    41   37   24  982   98   82   16   27   13   
 23 14    5    38   39   22  857  104   97   16   36   26   
 24 10    5    42   51   24 1060   95   82   17   31   15   
 26 16    6    77   59   24 1318   93   90   13   33    2   
 27 15    4    40   44   24 1020  105   89   16   29    9   
 28  9   10    38   38   26  959  132  123   20   40    6   
 29  8    2    43   53   23  897   98   82   16   31    7   
 30 20    9    42   39   24  968  112   93   17   35   12   
 31 15    5    36   33   25  723   95   89   15   30   14   
 36  7    5    55   62   25  966  102   76   20   32    6   
 37  6    4    57   61   23 1347   72   85   16   23    0   
 38 21    8    57   67   25 1004  103   97   15   35   10   
 39 13    8    41   63   20 1639  102  101   13   25    6   
 40  8   10    NA   49   24 1369  101   97   15   31    8   
 41  9    6    66   51   25 1508  102   97   18   33    8   
 42 13    4    69  137  122 1290   80   93   15   24    1   
 43 19    9    38   42   24 1056  125  107   19   35   21   
 44  4    1    49   80  120  894   93   82   13   21    3   
 45  8    6    NA   NA    8 1382   64   83   12   24    0   
 46 15    8    51   57   26  747  105   99   15   34    4   
 47  9    4    45   56   21 1126   79   68   16   28    1   
 48 14   10   141   44   25  942  125  110   18   36   27   
 49 16   14   133   46   25  886  102   93   13   27   15   
 50 17    6    76   55   22 1021   91   95   14   23    6   
 51  4    5    44   65   19 1346   58   68    9    9    0   
 54 20    8    40   42   25 1264  104  101   11   38   13   
 55 13    5    56   NA   11 1432   58   68   18   20    0   
 56 15   11    50   44   26 1165  129   97   17   33   25   
 57  8    0    75   NA    3    NA   58   69   13   21    2   
 59  7    5    44   55   18  953   90   97   17   29    7   
 60  8    8   181   62   23 1028  108  103   15   33    7   
 61 10    3    45   62   22 1194   95   93   16   31    9   
 62 16    4    61   60   21  985   85   82   14   25    8   
 64 14    6    15   80  121 1131   84   82   12   25    6   
 65  8    5    23   48   24  859   77   68    9   22    0   
 66 14    1    42   47   24 1237   85   68   13   23    5   
 70 10    5    61   83   17 1385   82   76   14   26    3   
 71 22    5   146   49   23 1030   82   95   11   31    1   
 74 22    8   144   46   25 1120  111   95   14   32    7   
 75  5    6    89   68   19 1792   58   68   11   27    0   
 76  8    7    71   77   21 1024   99  101   15   27    2   
 77  5    3    83   NA   13 1188   77   68   12   12    0   
 78 13    6    49   34   23  976  102   97   13   31   19   
 79 20    5    43   51   22  932   82   82   15   28    9   
 81 10    8    68   77   25  681   95   93   13   31    9   
 82 10    7    57   69   22 1189   95   95   14   33    4   
 83  7    6    60   73   23  844   82   85   15   27    7   
 84  9    7    56   76   24 1418   72   76   17   22    4   
 85  6    5    63   71   23  818   93   85   14   25    8   
 86 18    4   136   38   25  697  114  103   17   35   16   
 87 21    6    49   53   25 1788  108   97   14   35   13   
 89 20    8    57   51   24 1347   95   95   15   32    9   
 90 12    5    64   NA    9 1434   72   68   13   21    1   
 91 22    7    43   57   24 1051   95   95   16   30    7   
 92 10    3    71   94  114 1267   68   68   17   18    2   
 94 21   15    38   37   26  817  119  102   18   34   23   
 95  5    7    74   85   20 1683   84   89   16   26    6   
 96  9    4    84   89   13 1316   75   68   13   21    0   
 97 10    7    75   86  120 1811   75   82   12   25    2   
 98  8    6    64   73   26 1357  122  107   17   36   22   
 99  5    7    NA   NA   16 1259   58   89   12   23    4   
100 16    5    48   55   25  791  127  110   18   40   16   


