iv,dv
Text,0
Text,0
Text,0
Text,0
Text,0
Text,0
Text,0
Text,0
Text,0
Text,0
Text,0
Text,0
Text,0
Text,0
Text,0
Text,0
Text,0
Text,0
Text,0
Text,0
Text,0
Text,0
Text,0
Text,0
Text,0
Text,0
Text,0
Text,0
Text,0
Text,0
Text,0
Text,0
Text,0
Text,0
Text,0
Text,0
Text,0
Text,0
Text,0
Text,0
Text,0
Text,0
Text,0
Text,0
Text,0
Text,0
Text,0
Text,0
Text,0
Text,0
Text,0
Text,0
Text,0
Text,0
Text,0
Text,0
Text,0
Text,0
Text,0
Text,0
Text,0
Text,0
Text,0
Text,0
Graphic,0
Graphic,0
Graphic,0
Graphic,0
Graphic,0
Graphic,0
Graphic,0
Graphic,0
Graphic,0
Graphic,0
Graphic,0
Graphic,0
Graphic,0
Graphic,0
Graphic,0
Graphic,0
Graphic,0
Graphic,0
Graphic,0
Graphic,0
Graphic,0
Graphic,0
Graphic,0
Graphic,0
Text,1
Text,1
Text,1
Text,1
Text,1
Text,1
Text,1
Text,1
Graphic,1
Graphic,1
Graphic,1
Graphic,1
Text,2
Text,2
Text,2
Text,2
Text,2
Graphic,2
Graphic,2
Graphic,2
Graphic,2
Graphic,2
Graphic,2
Graphic,2
Text,3
Text,3
Text,3
Text,3
Text,3
Text,3
Graphic,3
Graphic,3
Graphic,3
Graphic,3
Graphic,3
Graphic,3
Graphic,3
Text,4
Text,4
Text,4
Text,4
Text,4
Text,4
Text,4
Text,4
Text,4
Text,4
Text,4
Graphic,4
Graphic,4
Graphic,4
Graphic,4
Graphic,4
Graphic,4
Graphic,4
Graphic,4
Graphic,4
Graphic,4
Graphic,4
Graphic,4
Graphic,4
Graphic,4
Graphic,4
Graphic,4
Graphic,4
Graphic,4
Graphic,4
Graphic,4
Text,5
Text,5
Text,5
Text,5
Text,5
Text,5
Graphic,5
Graphic,5
Graphic,5
Text,6
Text,6
Text,6
Graphic,6
Graphic,6
Graphic,6
Text,7
Text,7
Text,7
Text,7
Text,7
Text,7
Graphic,7
Graphic,7
Graphic,7
Graphic,7
Graphic,7
Graphic,7
Graphic,7
Graphic,7
Graphic,7
Text,8
Text,8
Text,8
Text,8
Text,8
Text,8
Graphic,8
Graphic,8
Graphic,8
Graphic,8
Graphic,8
Graphic,8
Graphic,8
Graphic,8
Graphic,8
Graphic,8
Text,9
Text,9
Graphic,9
Graphic,9
Graphic,9
Graphic,9
Graphic,9
Text,10
Text,10
Graphic,10
Graphic,10
Graphic,10
Graphic,10
Graphic,10
Graphic,10
Graphic,11
Graphic,11
Text,12
Text,12
Text,12
Text,12
Graphic,12
Graphic,12
Graphic,12
Graphic,12
Graphic,12
Graphic,12
Graphic,12
Graphic,12
Text,13
Graphic,13
Graphic,13
Graphic,14
Graphic,14
Graphic,14
Text,16
Graphic,16
Graphic,16
Graphic,16
Graphic,16
Graphic,16
Graphic,16
Graphic,16
Graphic,16
Graphic,16
Graphic,16
Graphic,16
Graphic,16
